team,year,total_disposals,total_goals,total_behinds,total_tackles,total_clearances,total_inside_50s,total_marks,total_contested_marks,total_hitouts,avg_disposal_per_player,avg_goals_per_player,avg_tackles_per_player,players_20plus_goals,players_30plus_goals,players_40plus_goals,players_300plus_disposals,players_400plus_disposals,players_500plus_disposals,players_100plus_tackles,total_players_used,players_with_10plus_games,players_with_15plus_games,players_with_20plus_games,total_brownlow_votes,players_with_brownlow_votes,top_brownlow_vote_getter,goal_accuracy,total_contested_poss,total_uncontested_poss,contested_poss_ratio,total_clangers,free_kick_differential
Adelaide,2016,9397,396,271,1651,923,1389,2275,310,932,324.0344827586207,13.655172413793103,56.93103448275862,6,5,4,19,9,4,4,29,23,23,19,87,13,24,59.37031484257871,3654,5755,38.884750452272,1201,33
Brisbane Lions,2016,7424,254,190,1498,797,1018,1600,187,869,185.6,6.35,37.45,2,0,0,8,6,1,3,40,25,17,7,20,4,9,57.20720720720721,2972,4393,40.0323275862069,1127,-21
Carlton,2016,8123,224,186,1452,765,1116,1977,232,863,232.0857142857143,6.4,41.48571428571429,1,0,0,9,8,5,3,35,25,19,12,45,9,18,54.63414634146342,2914,5123,35.87344577126677,1084,11
Collingwood,2016,8360,276,196,1719,756,1131,1968,247,776,214.35897435897436,7.076923076923077,44.07692307692308,3,0,0,12,4,3,5,39,27,17,10,66,11,21,58.47457627118644,3157,5267,37.76315789473684,1092,39
Essendon,2016,8409,200,199,1427,738,1013,2238,223,808,215.6153846153846,5.128205128205129,36.58974358974359,3,1,1,11,6,4,2,39,23,18,12,36,6,19,50.125313283208015,2896,5566,34.439291235580924,1111,35
Fremantle,2016,8125,227,170,1593,800,1000,1871,233,912,213.81578947368422,5.973684210526316,41.921052631578945,3,2,0,12,5,2,2,38,24,18,9,45,12,20,57.17884130982368,3036,5069,37.36615384615384,1120,-12
Geelong,2016,9178,345,247,1676,905,1367,2282,336,956,278.1212121212121,10.454545454545455,50.78787878787879,6,3,1,11,8,5,4,33,24,21,15,84,13,35,58.27702702702703,3575,5646,38.95184135977337,1249,-40
Gold Coast,2016,7827,258,188,1531,728,1064,1921,235,687,195.675,6.45,38.275,3,1,1,10,1,0,0,40,26,17,4,45,10,11,57.847533632286996,2963,4881,37.85613900600486,1084,-30
Greater Western Sydney,2016,9335,375,249,1653,979,1393,2260,285,1074,266.7142857142857,10.714285714285714,47.22857142857143,6,4,3,13,10,6,4,35,26,20,17,92,16,17,60.09615384615385,3604,5726,38.607391537225496,1277,-54
Hawthorn,2016,8854,336,221,1718,876,1287,2237,235,1036,245.94444444444446,9.333333333333334,47.72222222222222,5,5,3,15,6,4,5,36,24,20,16,73,12,16,60.32315978456014,3132,5642,35.37384233114976,1135,15
Melbourne,2016,8649,286,179,1580,844,1183,1792,244,1053,233.75675675675674,7.72972972972973,42.7027027027027,4,2,1,12,5,4,2,37,24,19,10,71,11,16,61.505376344086024,3267,5340,37.77315296566077,1164,-27
North Melbourne,2016,8342,296,221,1506,854,1189,1962,283,985,245.35294117647058,8.705882352941176,44.294117647058826,6,3,1,11,8,3,2,34,22,18,14,63,14,12,57.25338491295938,3292,5085,39.46295852313594,1093,72
Port Adelaide,2016,7939,300,217,1674,862,1208,1626,212,669,214.56756756756758,8.108108108108109,45.24324324324324,5,3,0,12,5,2,4,37,24,19,10,64,13,19,58.027079303675045,3237,4683,40.773397153293864,1274,-58
Richmond,2016,8079,247,172,1323,752,1005,2140,276,931,197.0487804878049,6.024390243902439,32.26829268292683,3,2,1,9,5,3,0,41,23,18,8,52,8,25,58.94988066825776,3003,5068,37.170441886372075,1124,-17
St Kilda,2016,8296,286,196,1459,759,1162,2029,271,835,237.02857142857144,8.17142857142857,41.68571428571428,4,3,2,13,7,4,2,35,25,19,12,76,13,19,59.33609958506224,2941,5351,35.450819672131146,1092,-22
Sydney,2016,10285,376,250,2048,1013,1462,2128,344,1084,302.5,11.058823529411764,60.23529411764706,7,1,1,14,11,6,5,34,26,22,15,105,11,26,60.063897763578275,4253,6011,41.35148274185707,1392,-51
West Coast,2016,8132,330,198,1607,860,1203,1979,294,1083,232.34285714285716,9.428571428571429,45.91428571428571,5,3,2,11,5,3,2,35,24,20,16,83,14,21,62.5,3216,4964,39.54746679783571,1083,22
Western Bulldogs,2016,10681,324,234,1787,982,1423,2373,289,872,273.87179487179486,8.307692307692308,45.82051282051282,4,2,2,15,10,8,4,39,27,22,14,81,14,20,58.06451612903226,3913,6800,36.63514652186125,1238,112
